0	1	1	1	4	3
1	1	1	1	5	4
2	2	2	3	2	5
3	1	1	1	5	4
4	2	2	3	2	6
5	2	2	3	2	5
6	1	1	1	5	4
7	1	1	1	5	4
8	2	2	4	3	2
9	2	2	3	2	5
10	1	1	1	5	4
11	1	1	1	5	4
12	1	1	1	4	3
13	2	3	2	1	1
14	2	2	3	2	5
15	1	1	1	5	4
16	1	1	1	4	3
17	2	2	3	2	5
18	1	1	1	4	3
19	2	2	4	3	2
20	1	1	1	5	4
21	1	1	1	5	4
22	1	1	1	5	4
23	1	1	1	5	4
24	1	1	1	5	4
25	2	2	3	2	6
26	2	2	4	3	2
27	2	2	4	3	2
28	2	2	4	3	2
29	2	2	4	3	2
30	2	2	4	3	2
31	1	1	1	4	3
32	2	2	4	3	2
33	2	2	3	2	5
34	1	1	1	4	3
35	1	1	1	4	3
36	2	3	2	1	1
37	2	2	3	2	5
38	2	2	4	3	2
39	2	2	4	3	2
40	2	2	4	3	2
41	1	1	1	5	4
42	1	1	1	5	4
43	1	1	1	5	4
44	1	1	1	5	4
45	1	1	1	5	4
46	1	1	1	5	4
47	2	3	2	1	1
48	2	3	2	1	1
49	2	3	2	1	1
50	2	2	3	2	6
51	2	2	3	2	6
52	1	1	1	4	3
