0	1	2	3	6	5	5	5	15	14	13	13	13	28	27	27	27	39
1	1	2	3	6	5	5	5	13	12	11	11	11	11	11	11	11	11
2	1	2	6	5	4	4	4	4	4	3	3	3	3	3	3	3	3
3	1	2	3	6	5	5	5	14	13	12	12	12	12	12	12	12	12
4	1	2	3	6	5	5	5	11	10	9	9	9	9	9	9	9	9
5	1	2	5	4	3	3	3	3	3	2	2	2	2	2	2	2	2
6	1	2	3	6	5	5	5	12	11	10	10	10	10	10	10	10	10
7	1	2	3	6	5	5	5	16	15	14	14	14	13	13	13	13	13
8	1	2	3	6	5	5	5	15	14	13	13	13	27	26	26	26	26
9	1	2	3	7	6	6	6	5	5	4	4	4	4	4	4	4	4
10	1	2	3	6	5	5	5	15	14	13	13	13	29	28	28	28	27
11	1	2	3	6	5	5	5	15	14	13	13	13	29	28	28	28	27
12	1	2	4	3	7	8	10	9	23	22	25	24	23	31	35	34	33
13	1	2	4	3	8	7	7	6	6	5	5	5	5	5	5	5	5
14	1	2	4	3	7	10	9	8	8	7	7	7	7	7	7	7	7
15	1	2	4	3	7	9	8	7	7	6	6	6	6	6	6	6	6
16	1	2	4	3	7	8	10	9	18	17	17	17	16	16	16	16	16
17	1	2	4	3	7	8	10	9	17	16	16	16	15	15	15	15	15
18	1	2	4	3	7	8	10	9	19	18	18	18	17	17	17	17	17
19	1	2	4	3	7	8	10	9	20	19	19	19	18	18	18	18	18
20	1	2	4	3	7	8	10	9	21	20	20	20	19	19	19	19	19
21	1	2	4	3	7	8	10	9	22	21	21	21	20	20	20	20	20
22	1	2	4	3	7	8	10	9	24	23	22	22	21	21	21	21	21
23	1	2	4	3	7	8	10	9	23	22	25	24	23	31	35	34	33
24	1	2	4	3	7	8	10	9	23	22	25	24	23	31	35	34	33
25	1	2	4	3	7	8	10	9	23	22	25	24	23	31	33	33	32
26	1	2	4	3	7	8	10	9	16	15	15	15	14	14	14	14	14
27	1	2	4	3	7	8	10	9	23	22	25	24	23	31	34	39	38
28	1	2	4	3	7	8	10	9	23	22	25	24	23	31	34	36	35
29	1	2	4	3	7	8	10	9	23	22	25	24	23	31	34	37	36
30	1	2	4	3	7	8	10	9	23	22	25	24	23	31	34	38	37
31	1	2	4	3	7	8	10	9	23	22	25	24	23	31	36	35	34
32	1	2	4	3	7	8	10	9	23	22	25	24	23	31	35	34	33
33	1	2	4	3	7	8	10	9	23	22	26	25	24	23	23	23	23
34	1	2	4	3	7	8	10	9	23	22	25	24	23	31	35	34	33
35	1	2	4	3	7	8	10	9	23	22	25	24	23	31	35	34	33
36	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
37	1	2	4	3	7	8	10	9	23	22	25	24	23	31	32	32	31
38	1	2	4	3	7	8	10	9	23	22	25	24	23	31	35	34	33
39	1	2	4	3	7	8	10	9	23	22	25	24	23	30	30	30	29
40	1	2	4	3	7	8	10	9	23	22	25	24	23	29	29	29	28
41	1	2	4	3	7	8	10	9	23	22	25	24	23	32	31	31	30
42	1	2	4	3	7	8	10	9	23	22	25	24	23	31	35	34	33
43	1	2	4	3	7	8	10	9	23	22	25	24	23	31	35	34	33
44	1	2	4	3	7	8	11	10	9	8	8	8	8	8	8	8	8
45	1	2	3	6	5	5	5	15	14	13	13	13	29	28	28	28	27
46	1	2	3	6	5	5	5	15	14	13	13	13	28	27	27	27	40
47	1	3	2	2	2	2	2	2	2	24	23	23	22	22	22	22	22
48	1	3	2	2	2	2	2	2	2	25	24	26	25	24	24	24	24
49	1	3	2	2	2	2	2	2	2	25	24	27	26	25	25	25	25
50	1	3	2	2	2	2	2	2	2	25	24	27	26	25	25	25	25
51	1	3	2	2	2	2	2	2	2	25	24	27	26	25	25	25	25
52	1	2	3	6	5	5	5	15	14	13	13	13	28	27	27	27	39
