0	1	2	3	4	5	8	9	9	16	15	14
1	1	2	3	4	5	8	9	9	17	16	15
2	1	2	3	5	4	4	4	4	4	4	3
3	1	2	3	4	5	8	9	9	17	16	15
4	1	2	3	4	5	8	9	9	12	12	11
5	1	2	3	4	7	6	6	6	6	6	5
6	1	2	3	4	5	8	9	9	17	16	15
7	1	2	3	4	5	8	9	9	17	16	15
8	1	2	3	4	5	8	9	9	18	17	16
9	1	2	3	4	6	5	5	5	5	5	4
10	1	2	3	4	5	8	9	9	17	16	15
11	1	2	3	4	5	8	9	9	17	16	15
12	1	2	3	4	5	8	9	9	14	18	17
13	1	2	4	3	3	3	3	3	3	3	2
14	1	2	3	4	5	7	7	7	7	7	6
15	1	2	3	4	5	9	8	8	8	8	7
16	1	2	3	4	5	8	9	9	14	18	17
17	1	2	3	4	5	8	9	9	14	19	18
18	1	2	3	4	5	8	9	9	14	18	17
19	1	2	3	4	5	8	9	9	14	18	17
20	1	2	3	4	5	8	9	9	14	18	17
21	1	2	3	4	5	8	9	9	14	18	17
22	1	2	3	4	5	8	9	9	14	18	17
23	1	2	3	4	5	8	9	9	14	18	17
24	1	2	3	4	5	8	9	9	14	18	17
25	1	2	3	4	5	8	10	10	9	9	8
26	1	2	3	4	5	8	10	11	10	10	9
27	1	2	3	4	5	8	10	10	9	9	8
28	1	2	3	4	5	8	10	10	9	9	8
29	1	2	3	4	5	8	10	10	9	9	8
30	1	2	3	4	5	8	10	10	9	9	8
31	1	2	3	4	5	8	10	10	9	9	8
32	1	2	3	4	5	8	10	10	9	9	8
33	1	2	3	4	5	8	10	10	9	9	8
34	1	2	3	4	5	8	10	10	9	9	8
35	1	2	3	4	5	8	10	10	9	9	8
36	2	1	1	1	1	1	1	1	1	1	1
37	1	2	3	4	5	8	9	9	11	11	10
38	1	2	3	4	5	8	9	9	11	11	10
39	1	2	3	4	5	8	9	9	13	13	12
40	1	2	3	4	5	8	9	9	15	14	13
41	1	2	3	4	5	8	9	9	17	16	15
42	1	2	3	4	5	8	9	9	17	16	15
43	1	2	3	4	5	8	9	9	17	16	15
44	1	2	3	4	5	8	9	9	17	16	15
45	1	2	3	4	5	8	9	9	17	16	15
46	1	2	3	4	5	8	9	9	16	15	14
47	1	3	2	2	2	2	2	2	2	2	19
48	1	3	2	2	2	2	2	2	2	2	20
49	1	3	2	2	2	2	2	2	2	2	20
50	1	3	2	2	2	2	2	2	2	2	20
51	1	3	2	2	2	2	2	2	2	2	20
52	1	2	3	4	5	8	9	9	16	15	14
