0	1	3	2	1	7	6	5	4	4	4	3	2	14	13	12	11	10	9	8	7	6	5	5	5	5	5	5	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14
1	1	1	1	5	4	3	2	9	8	7	6	5	4	4	4	4	4	3	3	3	22	21	20	19	18	17	16	15	14	13	32	31	30	29	28	27	26	25	24	23	22	21	20
2	1	1	1	5	4	3	2	9	8	7	6	5	4	4	4	4	4	3	3	3	22	21	20	19	18	17	16	15	14	13	32	31	30	29	28	27	26	25	24	23	22	21	20
3	1	1	1	5	4	3	2	9	8	7	6	5	4	4	4	4	4	3	3	3	22	21	20	19	18	17	16	15	14	13	32	31	30	29	28	27	26	25	24	23	22	21	20
4	1	2	4	3	2	1	1	1	1	1	12	11	10	9	9	8	7	6	5	21	20	19	18	17	16	27	26	25	24	23	22	21	20	19	18	17	16	15	15	14	42	41	40
5	1	1	1	5	4	3	2	9	8	7	6	5	4	4	4	4	4	3	3	3	22	21	20	19	18	17	16	15	14	13	32	31	30	29	28	27	26	25	24	23	22	21	20
6	1	4	3	2	1	7	6	5	10	9	8	7	6	15	14	13	12	11	10	9	8	7	7	7	6	6	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14	13
7	1	4	3	2	1	7	6	5	10	9	8	7	6	15	14	13	12	11	10	9	8	7	7	7	6	6	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14	13
8	1	3	2	1	7	6	5	4	4	4	3	2	14	13	12	11	10	9	8	7	6	5	5	5	5	5	5	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14
9	1	2	5	4	3	2	8	7	6	6	5	4	3	3	3	3	3	19	18	17	16	15	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	9	41	40	39	38
10	1	3	2	1	7	6	5	4	4	4	3	2	14	13	12	11	10	9	8	7	6	5	5	5	5	5	5	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14
11	1	3	2	1	7	6	5	4	4	4	3	2	14	13	12	11	10	9	8	7	6	5	5	5	5	5	5	30	29	28	27	26	25	24	23	22	21	20	19	18	17	16	15
12	1	4	3	2	1	7	6	5	10	9	8	7	6	15	14	13	12	11	10	9	8	7	7	7	6	6	28	27	26	25	24	23	22	21	20	19	18	17	16	15	14	43	42
13	1	2	5	4	3	2	8	7	6	6	5	4	3	3	3	3	3	19	18	17	16	15	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	9	42	41	40	39
14	1	2	5	4	3	2	8	7	6	6	5	4	3	3	3	3	3	19	18	17	16	15	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	9	42	41	40	39
15	1	2	5	4	3	2	8	7	6	6	5	4	3	3	3	3	3	19	18	17	16	15	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	9	42	41	40	39
16	1	2	5	4	3	2	8	7	6	6	5	4	3	3	3	3	3	19	18	17	16	15	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	9	42	41	40	39
17	1	2	5	4	3	2	8	7	6	6	5	4	3	3	3	3	3	19	18	17	16	15	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	9	42	41	40	39
18	1	2	5	4	3	2	8	7	6	6	5	4	3	3	3	3	3	19	18	17	16	15	24	23	22	21	20	19	18	17	16	15	14	13	12	11	10	9	9	42	41	40	39
