0	1	2	3	2	5	4	3	2
1	1	3	2	1	1	6	5	4
2	1	3	2	1	1	6	5	4
3	1	3	2	1	1	6	5	4
4	1	1	1	4	3	2	2	8
5	1	3	2	1	1	6	5	4
6	1	2	4	3	2	1	1	1
7	1	2	4	3	2	1	1	1
8	1	2	3	2	6	5	4	3
9	1	1	1	5	4	3	7	6
10	1	2	3	2	6	5	4	3
11	1	2	3	2	6	5	4	3
12	1	2	3	2	6	5	4	3
13	1	1	1	5	4	3	8	7
14	1	1	1	5	4	3	8	7
15	1	1	1	5	4	3	8	7
16	1	1	1	5	4	3	8	7
17	1	1	1	5	4	3	8	7
18	1	1	1	5	4	3	8	7
19	1	1	1	5	4	3	8	7
20	1	2	3	2	5	4	3	2
21	1	2	3	2	6	5	4	3
22	1	1	1	5	4	3	8	7
23	1	1	1	5	4	3	7	6
24	1	3	2	1	1	6	5	4
25	1	1	1	5	4	3	8	7
26	1	1	1	4	3	2	2	9
27	1	2	3	2	6	5	4	3
28	1	1	1	5	4	3	8	7
29	1	1	1	5	4	3	8	7
30	1	1	1	5	4	3	8	7
31	1	2	3	2	5	4	3	2
32	1	1	1	5	4	3	8	7
33	1	1	1	5	4	3	8	7
34	1	1	1	5	4	3	8	7
35	1	3	2	1	1	7	6	5
36	1	2	3	2	6	5	4	3
37	1	2	3	2	5	4	3	2
38	1	1	1	5	4	3	8	7
39	1	3	2	1	1	6	5	4
40	1	1	1	5	4	3	8	7
41	1	2	3	2	6	5	4	3
42	1	2	3	2	6	5	4	3
43	1	1	1	4	3	2	2	8
44	1	3	2	1	1	6	5	4
45	1	2	3	2	6	5	4	3
46	1	2	3	2	6	5	4	3
47	1	1	1	5	4	3	8	7
48	1	1	1	5	4	3	8	7
49	1	1	1	5	4	3	8	7
50	1	2	3	2	6	5	4	3
51	1	1	1	4	3	2	2	8
52	1	2	3	2	5	4	3	2
53	1	2	3	2	5	4	3	2
54	1	1	1	4	3	2	2	9
55	1	1	1	4	3	2	2	8
56	1	2	3	2	5	4	3	2
57	1	1	1	5	4	3	8	7
58	1	2	3	2	5	4	3	2
59	1	2	3	2	5	4	3	2
60	1	2	3	2	5	4	3	2
61	1	2	3	2	5	4	3	2
62	1	2	3	2	5	4	3	2
63	1	2	3	2	5	4	3	2
64	1	2	3	2	5	4	3	2
65	1	1	1	4	3	2	2	9
66	1	1	1	4	3	2	2	8
67	1	1	1	5	4	3	7	6
68	1	2	3	2	6	5	4	3
69	1	1	1	5	4	3	8	7
70	1	1	1	5	4	3	7	6
71	1	2	3	2	5	4	3	2
72	1	1	1	5	4	3	8	7
73	1	1	1	5	4	3	7	6
74	1	1	1	5	4	3	7	6
75	1	1	1	4	3	2	2	8
76	1	1	1	4	3	2	2	8
77	1	1	1	4	3	2	2	8
78	1	3	2	1	1	6	5	4
79	1	3	2	1	1	7	6	5
80	1	3	2	1	1	6	5	4
81	1	2	3	2	6	5	4	3
82	1	3	2	1	1	6	5	4
83	1	3	2	1	1	7	6	5
84	1	1	1	4	3	2	2	8
85	1	1	1	5	4	3	8	7
86	1	3	2	1	1	6	5	4
87	1	3	2	1	1	7	6	5
88	1	1	1	5	4	3	7	6
89	1	3	2	1	1	7	6	5
90	1	1	1	5	4	3	7	6
91	1	1	1	5	4	3	7	6
92	1	3	2	1	1	6	5	4
93	1	3	2	1	1	7	6	5
94	1	3	2	1	1	7	6	5
