"Id","Name","BrLen1","BrLen2","T92.kappa","T92.theta","NHML"
158,,0.0920917,0.000382,3.10308,0.405427,1
159,,0.0321807,0.0242,3.10308,0.405427,0.7285
160,"Guillar_th",0.0277702,0.007637,3.10308,0.405427,1
161,,0.0144298,0.098791,3.10308,0.405427,0.5148
162,"Gelidiu_ca","1e-06",0.036475,3.10308,0.405427,0.0787
163,"Onikusa_pr","1e-06",0.0197,3.10308,0.405427,0.1935
164,,0.0109217,0.023984,3.10308,0.405427,0
165,"Gracila_ve",0.0115685,0,3.10308,0.405427,1
166,,0.0698651,0,3.10308,0.405427,1
167,,0.0266661,0.009973,3.10308,0.405427,0
168,"Giardia_in",0.0427971,0.0123,3.10308,0.907711,0.1002
169,"Giardia_ar",0.0670417,0.069266,3.10308,0.657526,0.4667
170,,0.271928,0.025279,3.10308,0.907711,0.236
171,,0.0196106,0.0586,3.10308,0.907711,0.9862
172,"Trypano_cr","1e-06",0.0684,3.10308,0.523896,0.7149
173,"Trypano_br",0.00913749,0.416667,3.10308,0.523896,0.8692
174,,0.142667,0.03264,3.10308,0.523896,0.8656
175,"Euglena_gr",0.149294,0.0048,3.10308,0.523896,1
176,,0.088086,0.0044,3.10308,0.523896,1
177,,0.0300524,0.141744,3.10308,0.907711,0.3482
178,"Entamoe_hi",0.113505,0.1412,3.10308,0.706642,0.6301
179,"Dictyos_di",0.0935781,0.085485,3.10308,0.706642,0.451
180,,"1e-06",0.03734,3.10308,0.706642,1
181,,"1.33398e-12",1.29415,3.10308,0.706642,0.5604
182,,,,,,
