Threshold	NbPartitions	LogL	DF	AIC	BIC
0	1	-873.521	20	1787.04	1844.39
0.0178026	2	-869.445	21	1780.89	1841.11
0.047548	3	-867.792	22	1779.58	1842.67
0.441372	4	-867.63	23	1781.26	1847.21
0.45448	5	-867.48	24	1782.96	1851.78
0.646466	6	-867.473	25	1784.95	1856.63
0.761102	7	-867.374	26	1786.75	1861.3
0.898719	8	-867.375	27	1788.75	1866.17
1	9	-867.357	28	1790.71	1871
