Threshold	NbPartitions	LogL	DF	AIC	AICc	BIC
0	1	-872.952	20	1785.9	1793.61	1843.26
0.0128178	2	-868.851	21	1779.7	1788.26	1839.92
0.0523	3	-867.215	22	1778.43	1787.89	1841.52
0.45448	4	-867.057	23	1780.11	1790.53	1846.07
0.460766	5	-866.968	24	1781.94	1793.36	1850.76
0.646466	6	-866.966	25	1783.93	1796.43	1855.62
0.67656	7	-866.876	26	1785.75	1799.38	1860.31
0.828782	8	-866.797	27	1787.59	1802.42	1865.02
1	9	-866.782	28	1789.56	1805.64	1869.85
