0	1	2	1	1	5	4	3	3	3	2	1	12	11
1	1	3	2	4	3	2	1	1	1	10	9	8	7
2	1	2	1	1	6	5	4	4	10	9	8	7	6
3	1	3	2	5	4	3	2	2	2	1	11	10	9
4	1	2	1	1	5	4	3	3	3	2	1	13	12
5	1	2	1	1	5	4	3	3	3	2	1	12	11
6	1	2	1	1	6	5	4	4	10	9	8	7	6
7	1	3	2	5	4	3	2	2	2	1	12	11	10
8	1	2	1	1	6	5	4	4	9	8	7	6	5
9	1	3	2	5	4	3	2	2	2	1	12	11	10
10	1	2	1	1	5	4	3	3	3	2	1	12	11
11	2	1	3	2	1	1	7	6	5	4	3	2	14
12	2	1	4	3	2	6	5	8	7	6	5	4	3
13	2	1	4	3	2	6	5	8	7	6	5	4	3
14	2	1	4	3	2	6	5	9	8	7	6	5	4
15	2	1	4	3	2	6	5	8	7	6	5	4	3
16	1	3	2	4	3	2	1	1	1	11	10	9	8
17	2	1	3	2	1	1	7	6	5	4	3	2	13
18	2	1	3	2	1	1	7	6	5	4	3	2	14
19	2	1	4	3	2	6	5	9	8	7	6	5	4
20	2	1	3	2	1	1	7	6	5	4	3	2	14
21	2	1	3	2	1	1	8	7	6	5	4	3	2
22	2	1	3	2	1	1	8	7	6	5	4	3	2
23	1	2	1	1	5	4	3	3	3	2	1	12	11
24	2	1	4	3	2	6	5	8	7	6	5	4	3
25	2	1	4	3	2	7	6	5	4	3	2	1	1
26	2	1	4	3	2	6	5	8	7	6	5	4	3
27	2	1	3	2	1	1	7	6	5	4	3	2	14
28	1	3	2	4	3	2	1	1	1	10	9	8	7
29	2	1	3	2	1	1	7	6	5	4	3	2	14
30	1	3	2	4	3	2	1	1	1	11	10	9	8
