0	1	2	4	5	4	4	10	11	10	15	14	13	12	12	12	12	11	11
1	1	2	4	6	5	5	4	4	4	4	3	2	1	1	1	1	1	1
2	1	2	4	5	4	4	10	11	10	17	16	15	14	14	13	13	12	28
3	1	2	4	5	4	4	10	12	11	10	9	8	7	7	7	7	7	7
4	1	2	4	5	4	4	10	11	10	14	13	12	11	11	11	11	27	26
5	1	2	4	5	4	4	10	11	10	14	13	12	11	11	11	11	26	25
6	1	2	4	5	4	4	10	11	10	17	16	15	14	14	13	13	12	27
7	1	2	4	5	4	4	11	10	9	9	8	7	6	6	6	6	6	6
8	1	2	4	5	4	4	10	11	10	16	15	14	13	13	23	22	21	20
9	1	2	4	5	4	4	9	9	8	8	7	6	5	5	5	5	5	5
10	1	2	4	5	4	4	10	11	10	16	15	14	13	13	22	21	20	19
11	1	4	3	3	2	2	2	2	2	2	1	19	18	17	16	15	14	13
12	1	4	3	3	2	2	2	2	2	2	1	18	17	16	15	23	22	21
13	1	4	3	3	2	2	2	2	2	2	1	18	17	16	15	24	23	22
14	1	4	3	3	2	2	2	2	2	2	1	18	17	16	15	26	25	24
15	1	4	3	3	2	2	2	2	2	2	1	18	17	16	15	25	24	23
16	1	2	5	4	3	3	3	3	3	3	2	1	20	19	18	17	16	15
17	1	2	5	4	3	3	3	3	3	3	2	1	19	18	17	16	15	14
18	1	3	2	2	1	1	1	1	1	1	17	16	15	22	21	20	19	18
19	1	3	2	2	1	1	1	1	1	1	18	17	16	15	14	14	13	12
20	1	3	2	2	1	1	1	1	1	1	17	16	15	20	19	18	17	16
21	1	3	2	2	1	1	1	1	1	1	17	16	15	21	20	19	18	17
22	1	3	2	2	1	1	1	1	1	1	17	16	15	21	20	19	18	17
23	1	2	4	5	4	4	10	11	10	16	15	14	13	13	22	21	20	19
24	2	1	1	1	6	9	8	8	7	7	6	5	4	4	4	4	4	4
25	2	1	1	1	7	6	5	5	5	5	4	3	2	2	2	2	2	2
26	2	1	1	1	6	7	6	6	6	6	5	4	3	3	3	3	3	3
27	2	1	1	1	6	8	7	7	14	13	12	11	10	10	10	10	10	10
28	2	1	1	1	6	8	7	7	12	11	10	9	8	8	8	8	8	8
29	2	1	1	1	6	8	7	7	14	13	12	11	10	10	10	10	10	10
30	2	1	1	1	6	8	7	7	13	12	11	10	9	9	9	9	9	9
