0	1	1	1	4
1	2	2	3	2
2	1	1	1	4
3	1	1	1	5
4	1	1	1	4
5	1	1	1	4
6	1	1	1	4
7	1	1	1	5
8	1	1	1	4
9	1	1	1	5
10	1	1	1	4
11	2	2	4	3
12	2	2	4	3
13	2	2	4	3
14	2	2	4	3
15	2	2	3	2
16	2	2	3	2
17	2	2	4	3
18	2	2	3	2
19	2	2	4	3
20	2	2	4	3
21	2	2	4	3
22	2	2	4	3
23	1	1	1	4
24	2	2	3	2
25	2	3	2	1
26	2	2	3	2
27	2	2	4	3
28	2	3	2	1
29	2	2	4	3
30	1	1	1	4
