0	2	3	4	3	3	2	10
1	2	3	5	4	4	3	2
2	2	3	4	3	3	2	10
3	2	3	4	3	3	2	10
4	2	3	4	3	3	2	10
5	2	3	4	3	3	2	10
6	2	3	4	3	3	2	10
7	2	3	4	3	3	2	11
8	2	3	4	3	3	2	10
9	2	3	4	3	3	2	9
10	2	3	4	3	3	2	10
11	2	4	3	2	2	8	7
12	2	4	3	2	2	8	7
13	2	4	3	2	2	8	7
14	2	4	3	2	2	8	7
15	2	4	3	2	2	8	7
16	2	4	3	2	2	9	8
17	2	4	3	2	2	8	7
18	3	2	2	1	1	1	1
19	3	2	2	1	1	1	1
20	3	2	2	1	1	1	1
21	3	2	2	1	1	1	1
22	3	2	2	1	1	1	1
23	2	3	4	3	3	2	10
24	1	1	1	5	8	7	6
25	1	1	1	6	5	4	3
26	1	1	1	5	6	5	4
27	1	1	1	5	7	6	5
28	1	1	1	5	7	6	5
29	1	1	1	5	7	6	5
30	1	1	1	5	7	6	5
