Id,Name,dn,ds,Branch.length,Family,Genus,Order,SubFamily,SubOrder,mass,species,FAM
327,,NA,NA,NA,,,,,,NA,,  
33,,20,130,0.0393589,Cercopithecidae,,Primates,Colobinae,Haplorrhini,NA,, Primates Cercopithecidae
34,Nasalis_larvatus,144,1029,0.317299,Cercopithecidae,Nasalis,Primates,Colobinae,Haplorrhini,14617.5,larvatus, Primates Cercopithecidae
35,Pygathrix_nemaeus,183,1299,0.40115,Cercopithecidae,Pygathrix,Primates,Colobinae,Haplorrhini,9720,nemaeus, Primates Cercopithecidae
36,,56,302,0.0957595,Cercopithecidae,,Primates,Colobinae,Haplorrhini,NA,, Primates Cercopithecidae
37,,51,304,0.0937289,Cercopithecidae,,Primates,Colobinae,Haplorrhini,NA,, Primates Cercopithecidae
38,Procolobus_badius,190,1369,0.417942,Cercopithecidae,Procolobus,Primates,Colobinae,Haplorrhini,NA,badius, Primates Cercopithecidae
39,Colobus_guereza,205,1317,0.41295,Cercopithecidae,Colobus,Primates,Colobinae,Haplorrhini,9950,guereza, Primates Cercopithecidae
3,Rattus_norvegicus,219,2641,0.806582,Muridae,Rattus,Rodentia,Murinae,Sciurognathi,300,norvegicus, Rodentia Muridae
40,,71,390,0.124197,Cercopithecidae,,Primates,Colobinae,Haplorrhini,NA,, Primates Cercopithecidae
41,,129,875,0.269516,Cercopithecidae,,Primates,Colobinae,Haplorrhini,NA,, Primates Cercopithecidae
42,Chlorocebus_aethiops,373,2126,0.712958,Cercopithecidae,Chlorocebus,Primates,Cercopithecinae,Haplorrhini,5620,aethiops, Primates Cercopithecidae
43,Macaca_mulatta,240,1372,0.441629,Cercopithecidae,Macaca,Primates,Cercopithecinae,Haplorrhini,8235,mulatta, Primates Cercopithecidae
44,Papio_hamadryas,232,1329,0.428962,Cercopithecidae,Papio,Primates,Cercopithecinae,Haplorrhini,18000,hamadryas, Primates Cercopithecidae
45,,84,359,0.120809,Cercopithecidae,,Primates,Cercopithecinae,Haplorrhini,NA,, Primates Cercopithecidae
46,,136,738,0.238327,Cercopithecidae,,Primates,Cercopithecinae,Haplorrhini,NA,, Primates Cercopithecidae
47,,196,1203,0.384068,Cercopithecidae,,Primates,,Haplorrhini,NA,, Primates Cercopithecidae
48,Pongo_pygmaeus,298,1491,0.490809,Hominidae,Pongo,Primates,Ponginae,Haplorrhini,64475,pygmaeus, Primates Hominidae
49,Gorilla_gorilla,124,839,0.260099,Hominidae,Gorilla,Primates,Homininae,Haplorrhini,139842,gorilla, Primates Hominidae
4,Mus_musculus,245,2776,0.854604,Muridae,Mus,Rodentia,Murinae,Sciurognathi,20.5,musculus, Rodentia Muridae
5,,184,1716,0.530231,Muridae,,Rodentia,Murinae,Sciurognathi,NA,, Rodentia Muridae
50,Homo_sapiens,87,671,0.206326,Hominidae,Homo,Primates,Homininae,Haplorrhini,62035,sapiens, Primates Hominidae
51,Pan_troglodytes,92,618,0.191633,Hominidae,Pan,Primates,Homininae,Haplorrhini,44983.5,troglodytes, Primates Hominidae
52,,41,256,0.0810138,Hominidae,,Primates,Homininae,Haplorrhini,NA,, Primates Hominidae
53,,124,656,0.212851,Hominidae,,Primates,Homininae,Haplorrhini,NA,, Primates Hominidae
54,,65,382,0.122402,Hominidae,,Primates,Homininae,Haplorrhini,NA,, Primates Hominidae
55,Hylobates_lar,241,1665,0.524044,Hylobatidae,Hylobates,Primates,,Haplorrhini,6810,lar, Primates Hylobatidae
56,,159,938,0.298797,,,Primates,,Haplorrhini,NA,, Primates 
57,,260,2097,0.649653,,,Primates,,Haplorrhini,NA,, Primates 
58,Cebus_albifrons,374,3764,1.90184,Cebidae,Cebus,Primates,Cebinae,Haplorrhini,2467.5,albifrons, Primates Cebidae
59,,322,2769,0.853536,,,Primates,,Haplorrhini,NA,, Primates 
60,Tarsius_bancanus,325,3664,1.4793,Tarsiidae,Tarsius,Primates,,Haplorrhini,122.5,bancanus, Primates Tarsiidae
61,,50,441,0.132011,,,Primates,,Haplorrhini,NA,, Primates 
62,Lemur_catta,312,3921,1.23065,Lemuridae,Lemur,Primates,,Strepsirrhini,2555,catta, Primates Lemuridae
63,Nycticebus_coucang,301,3661,1.72147,Lorisidae,Nycticebus,Primates,,Strepsirrhini,890.5,coucang, Primates Lorisidae
64,,124,1108,0.336361,,,Primates,,Strepsirrhini,NA,, Primates 
65,,44,355,0.107364,,,Primates,,,NA,, Primates 
66,Cynocephalus_variegatus,348,3719,1.88613,Cynocephalidae,Cynocephalus,Dermoptera,,,NA,variegatus, Dermoptera Cynocephalidae
67,,80,669,0.204336,,,,,,NA,,  
68,Tupaia_belangeri,261,3714,1.8054,Tupaiidae,Tupaia,Scandentia,,,200,belangeri, Scandentia Tupaiidae
69,,35,275,0.0829476,,,,,,NA,,  
6,Cricetulus_griseus,316,3626,1.52748,Cricetidae,Cricetulus,Rodentia,Cricetinae,Sciurognathi,NA,griseus, Rodentia Cricetidae
70,,84,545,0.172343,,,,,,NA,,  
71,Herpestes_javanicus,226,2346,0.714752,Herpestidae,Herpestes,Carnivora,,Feliformia,800,javanicus, Carnivora Herpestidae
72,Neofelis_nebulosa,112,1288,0.382849,Felidae,Neofelis,Carnivora,Pantherinae,Feliformia,19500,nebulosa, Carnivora Felidae
73,Felis_catus,69,822,0.243156,Felidae,Felis,Carnivora,Felinae,Feliformia,3900,catus, Carnivora Felidae
74,Acinonyx_jubatus,95,1021,0.308424,Felidae,Acinonyx,Carnivora,Acinonychinae,Feliformia,53500,jubatus, Carnivora Felidae
75,,20,255,0.0745447,Felidae,,Carnivora,,Feliformia,NA,, Carnivora Felidae
76,,99,1041,0.31078,Felidae,,Carnivora,,Feliformia,NA,, Carnivora Felidae
77,,83,831,0.249805,,,Carnivora,,Feliformia,NA,, Carnivora 
78,Vulpes_vulpes,126,1737,0.505979,Canidae,Vulpes,Carnivora,,Caniformia,4131.7,vulpes, Carnivora Canidae
79,Canis_lupus,96,1398,0.404759,Canidae,Canis,Carnivora,,Caniformia,26625,lupus, Carnivora Canidae
7,Microtus_kikuchii,158,1545,0.479477,Cricetidae,Microtus,Rodentia,Arvicolinae,Sciurognathi,NA,kikuchii, Rodentia Cricetidae
80,,158,2134,0.627512,Canidae,,Carnivora,,Caniformia,NA,, Carnivora Canidae
81,Procyon_lotor,261,2516,0.768224,Procyonidae,Procyon,Carnivora,,Caniformia,6000,lotor, Carnivora Procyonidae
82,Enhydra_lutris,169,1519,0.457859,Mustelidae,Enhydra,Carnivora,Lutrinae,Caniformia,25850,lutris, Carnivora Mustelidae
83,Meles_meles_anakuma,169,1904,0.571578,Mustelidae,Meles,Carnivora,Mustelinae,Caniformia,13000,meles, Carnivora Mustelidae
84,Martes_melampus,76,973,0.283227,Mustelidae,Martes,Carnivora,Mustelinae,Caniformia,1000,melampus, Carnivora Mustelidae
85,Gulo_gulo,107,1148,0.341931,Mustelidae,Gulo,Carnivora,Mustelinae,Caniformia,16333.3,gulo, Carnivora Mustelidae
86,,39,429,0.126391,Mustelidae,,Carnivora,Mustelinae,Caniformia,NA,, Carnivora Mustelidae
87,,28,233,0.0712983,Mustelidae,,Carnivora,Mustelinae,Caniformia,NA,, Carnivora Mustelidae
88,,92,838,0.25355,Mustelidae,,Carnivora,Mustelinae,Caniformia,NA,, Carnivora Mustelidae
89,,52,435,0.131058,,,Carnivora,,Caniformia,NA,, Carnivora 
8,Microtus_rossiaemeridionalis,147,1353,0.418886,Cricetidae,Microtus,Rodentia,Arvicolinae,Sciurognathi,NA,rossiaemeridionalis, Rodentia Cricetidae
9,,225,2416,0.744932,Cricetidae,Microtus,Rodentia,Arvicolinae,Sciurognathi,NA,, Rodentia Cricetidae
90,Ailurus_fulgens_styani,226,2625,0.781358,Ailuridae,Ailurus,Carnivora,,Caniformia,4325,fulgens, Carnivora Ailuridae
91,,40,383,0.114154,,,Carnivora,,Caniformia,NA,, Carnivora 
92,Callorhinus_ursinus,91,767,0.23407,Otariidae,Callorhinus,Carnivora,,Caniformia,165500,ursinus, Carnivora Otariidae
93,Eumetopias_jubatus,76,451,0.14739,Otariidae,Eumetopias,Carnivora,,Caniformia,415000,jubatus, Carnivora Otariidae
94,Neophoca_cinerea,76,453,0.144506,Otariidae,Neophoca,Carnivora,,Caniformia,190000,cinerea, Carnivora Otariidae
95,Phocarctos_hookeri,69,452,0.142378,Otariidae,Phocarctos,Carnivora,,Caniformia,187580,hookeri, Carnivora Otariidae
96,,11,72,0.0232295,Otariidae,,Carnivora,,Caniformia,NA,, Carnivora Otariidae
97,Arctocephalus_forsteri,44,433,0.130881,Otariidae,Arctocephalus,Carnivora,,Caniformia,55000,forsteri, Carnivora Otariidae
98,,29,274,0.0839274,Otariidae,,Carnivora,,Caniformia,NA,, Carnivora Otariidae
99,,10,55,0.0172943,Otariidae,,Carnivora,,Caniformia,NA,, Carnivora Otariidae
