Id,Name,dn,ds,Branch.length,Family,Genus,Order,SubFamily,SubOrder,mass,species,FAM
148,,174,1909,0.576779,,,Chiroptera,,,NA,, Chiroptera 
149,,65,590,0.178122,,,Chiroptera,,,NA,, Chiroptera 
14,Jaculus_jaculus,248,3633,2.18438,Dipodidae,Jaculus,Rodentia,Dipodinae,Sciurognathi,55,jaculus, Rodentia Dipodidae
15,,155,1253,0.387974,,,Rodentia,,Sciurognathi,NA,, Rodentia 
150,,134,950,0.297984,,,Chiroptera,,,NA,, Chiroptera 
151,,30,157,0.050332,,,,,,NA,,  
152,Sus_scrofa,78,707,0.22292,Suidae,Sus,,,,180000,scrofa,  Suidae
153,Phacochoerus_africanus,75,939,0.288674,Suidae,Phacochoerus,,,,1e+05,africanus,  Suidae
154,,254,2945,0.914822,Suidae,,,,,NA,,  Suidae
155,Hippopotamus_amphibius,280,2478,0.777158,Hippopotamidae,Hippopotamus,,,,3750000,amphibius,  Hippopotamidae
156,Balaena_mysticetus,34,314,0.0972227,Balaenidae,Balaena,Cetacea,,Mysticeti,1e+08,mysticetus, Cetacea Balaenidae
157,Eubalaena_australis,24,278,0.0827187,Balaenidae,Eubalaena,Cetacea,,Mysticeti,4.5e+07,australis, Cetacea Balaenidae
158,,50,446,0.137286,Balaenidae,,Cetacea,,Mysticeti,NA,, Cetacea Balaenidae
159,Balaenoptera_acutorostrata,92,653,0.20553,Balaenopteridae,Balaenoptera,Cetacea,,Mysticeti,7500000,acutorostrata, Cetacea Balaenopteridae
160,Megaptera_novaeangliae,68,496,0.156668,Balaenopteridae,Megaptera,Cetacea,,Mysticeti,3e+07,novaeangliae, Cetacea Balaenopteridae
161,Eschrichtius_robustus,92,560,0.179846,Eschrichtiidae,Eschrichtius,Cetacea,,Mysticeti,28500000,robustus, Cetacea Eschrichtiidae
162,,12,116,0.0358546,,,Cetacea,,Mysticeti,NA,, Cetacea 
163,,22,270,0.0815931,,,Cetacea,,Mysticeti,NA,, Cetacea 
164,Caperea_marginata,132,1066,0.33028,Neobalaenidae,Caperea,Cetacea,,Mysticeti,NA,marginata, Cetacea Neobalaenidae
165,,23,135,0.0430242,,,Cetacea,,Mysticeti,NA,, Cetacea 
166,,69,426,0.138475,,,Cetacea,,Mysticeti,NA,, Cetacea 
167,Platanista_minor,274,1915,0.611807,Platanistidae,Platanista,Cetacea,,Odontoceti,NA,minor, Cetacea Platanistidae
168,Lagenorhynchus_albirostris,114,1024,0.313598,Delphinidae,Lagenorhynchus,Cetacea,,Odontoceti,NA,albirostris, Cetacea Delphinidae
169,Monodon_monoceros,145,946,0.301182,Monodontidae,Monodon,Cetacea,,Odontoceti,1250000,monoceros, Cetacea Monodontidae
16,Anomalurus_sp.,233,3436,2.48728,Anomaluridae,Anomalurus,Rodentia,,Sciurognathi,NA,sp., Rodentia Anomaluridae
17,,65,515,0.158861,,,Rodentia,,Sciurognathi,NA,, Rodentia 
170,Phocoena_phocoena,140,1312,0.396822,Phocoenidae,Phocoena,Cetacea,,Odontoceti,52500,phocoena, Cetacea Phocoenidae
171,,37,260,0.0823285,,,Cetacea,,Odontoceti,NA,, Cetacea 
172,,76,482,0.154264,,,Cetacea,,Odontoceti,NA,, Cetacea 
173,Lipotes_vexillifer,314,2008,0.652231,Lipotidae,Lipotes,Cetacea,,Odontoceti,83500,vexillifer, Cetacea Lipotidae
174,Pontoporia_blainvillei,291,2070,0.657117,Pontoporiidae,Pontoporia,Cetacea,,Odontoceti,40500,blainvillei, Cetacea Pontoporiidae
175,Inia_geoffrensis,254,1573,0.504161,Iniidae,Inia,Cetacea,,Odontoceti,84000,geoffrensis, Cetacea Iniidae
176,,75,415,0.134285,,,Cetacea,,Odontoceti,NA,, Cetacea 
177,,29,114,0.039156,,,Cetacea,,Odontoceti,NA,, Cetacea 
178,,101,503,0.169098,,,Cetacea,,Odontoceti,NA,, Cetacea 
179,Hyperoodon_ampullatus,98,991,0.303621,Ziphiidae,Hyperoodon,Cetacea,,Odontoceti,6500000,ampullatus, Cetacea Ziphiidae
180,Berardius_bairdii,130,1069,0.32883,Ziphiidae,Berardius,Cetacea,,Odontoceti,11380000,bairdii, Cetacea Ziphiidae
181,,83,570,0.181968,Ziphiidae,,Cetacea,,Odontoceti,NA,, Cetacea Ziphiidae
182,,11,48,0.016476,,,Cetacea,,Odontoceti,NA,, Cetacea 
183,,28,137,0.0461132,,,Cetacea,,Odontoceti,NA,, Cetacea 
184,Physeter_catodon,217,1454,0.467858,Physeteridae,Physeter,Cetacea,,Odontoceti,42500000,catodon, Cetacea Physeteridae
185,Kogia_breviceps,188,1478,0.464817,Physeteridae,Kogia,Cetacea,,Odontoceti,424600,breviceps, Cetacea Physeteridae
186,,76,448,0.145075,Physeteridae,,Cetacea,,Odontoceti,NA,, Cetacea Physeteridae
187,,26,135,0.0451066,,,Cetacea,,Odontoceti,NA,, Cetacea 
188,,227,1675,0.534036,,,Cetacea,,,NA,, Cetacea 
189,,85,664,0.207986,,,,,,NA,,  
18,Thryonomys_swinderianus,277,3879,2.04938,Thryonomyidae,Thryonomys,Rodentia,,Hystricognathi,6600,swinderianus, Rodentia Thryonomyidae
190,Cervus_elaphus,70,846,0.253907,Cervidae,Cervus,,Cervinae,Ruminantia,2e+05,elaphus,  Cervidae
191,Muntiacus_muntjak,94,1003,0.304821,Cervidae,Muntiacus,,Muntiacinae,Ruminantia,21000,muntjak,  Cervidae
192,Elaphodus_cephalophus,70,951,0.278031,Cervidae,Elaphodus,,Muntiacinae,Ruminantia,33500,cephalophus,  Cervidae
